IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.20.31.232,4,4,0.00,61.50,3.98,HKG
172.67.69.252,4,4,0.00,61.48,1.49,HKG
104.20.18.23,4,4,0.00,66.83,1.39,HKG
172.67.75.34,4,4,0.00,61.99,0.56,HKG
104.18.79.56,4,4,0.00,168.83,0.29,SJC
104.25.237.167,4,4,0.00,172.24,0.00,N/A
104.24.224.18,4,4,0.00,174.12,0.00,N/A
104.24.198.168,4,4,0.00,174.52,0.00,N/A
104.24.212.134,4,4,0.00,174.88,0.00,N/A
173.245.58.138,4,4,0.00,174.89,0.00,N/A
104.18.176.185,4,4,0.00,174.96,0.00,N/A
104.25.248.88,4,4,0.00,175.00,0.00,N/A
108.162.193.6,4,4,0.00,175.15,0.00,N/A
104.24.33.85,4,4,0.00,175.31,0.00,N/A
104.19.17.254,4,4,0.00,175.97,0.00,N/A
104.24.157.161,4,4,0.00,176.32,0.00,N/A
172.65.151.64,4,4,0.00,176.73,0.00,N/A
104.19.45.148,4,4,0.00,176.83,0.00,N/A
104.25.86.129,4,4,0.00,177.22,0.00,N/A
198.41.192.37,4,4,0.00,177.58,0.00,N/A
108.162.196.229,4,4,0.00,177.81,0.00,N/A
104.24.201.113,4,4,0.00,177.88,0.00,N/A
172.67.97.93,4,4,0.00,178.02,0.00,N/A
198.41.207.234,4,4,0.00,178.28,0.00,N/A
108.162.195.100,4,4,0.00,178.35,0.00,N/A
172.65.94.112,4,4,0.00,178.36,0.00,N/A
198.41.200.61,4,4,0.00,178.39,0.00,N/A
162.159.57.205,4,4,0.00,178.68,0.00,N/A
104.19.22.23,4,4,0.00,178.89,0.00,N/A
162.159.130.59,4,4,0.00,178.92,0.00,N/A
162.159.61.147,4,4,0.00,178.96,0.00,N/A
104.19.119.232,4,4,0.00,178.98,0.00,N/A
198.41.216.164,4,4,0.00,179.11,0.00,N/A
104.19.14.30,4,4,0.00,179.17,0.00,N/A
172.64.50.142,4,4,0.00,179.25,0.00,N/A
172.66.132.7,4,4,0.00,179.40,0.00,N/A
104.20.37.126,4,4,0.00,179.42,0.00,N/A
104.24.192.189,4,4,0.00,179.46,0.00,N/A
104.24.213.137,4,4,0.00,180.00,0.00,N/A
162.159.58.247,4,4,0.00,180.13,0.00,N/A
162.159.40.141,4,4,0.00,180.35,0.00,N/A
162.159.27.199,4,4,0.00,180.37,0.00,N/A
162.159.48.65,4,4,0.00,180.50,0.00,N/A
104.24.57.152,4,4,0.00,180.56,0.00,N/A
104.25.83.76,4,4,0.00,180.57,0.00,N/A
104.24.50.11,4,4,0.00,180.76,0.00,N/A
104.27.68.72,4,4,0.00,180.81,0.00,N/A
198.41.202.249,4,4,0.00,181.08,0.00,N/A
172.67.121.11,4,4,0.00,181.25,0.00,N/A
198.41.223.177,4,4,0.00,181.36,0.00,N/A
104.25.0.213,4,4,0.00,181.40,0.00,N/A
104.25.127.19,4,4,0.00,181.55,0.00,N/A
104.19.100.109,4,4,0.00,181.60,0.00,N/A
104.27.113.163,4,4,0.00,181.62,0.00,N/A
198.41.196.37,4,4,0.00,181.66,0.00,N/A
162.159.16.173,4,4,0.00,181.78,0.00,N/A
198.41.201.74,4,4,0.00,181.84,0.00,N/A
172.64.92.167,4,4,0.00,181.85,0.00,N/A
141.101.122.193,4,4,0.00,181.87,0.00,N/A
104.25.32.59,4,4,0.00,181.97,0.00,N/A
104.18.171.237,4,4,0.00,181.97,0.00,N/A
104.25.191.54,4,4,0.00,182.10,0.00,N/A
104.25.37.227,4,4,0.00,182.22,0.00,N/A
162.159.51.25,4,4,0.00,182.33,0.00,N/A
104.19.81.242,4,4,0.00,182.34,0.00,N/A
172.65.142.94,4,4,0.00,182.43,0.00,N/A
162.159.201.141,4,4,0.00,182.44,0.00,N/A
162.159.193.117,4,4,0.00,182.47,0.00,N/A
104.27.38.143,4,4,0.00,182.48,0.00,N/A
198.41.215.32,4,4,0.00,182.49,0.00,N/A
104.16.136.189,4,4,0.00,182.68,0.00,N/A
198.41.203.165,4,4,0.00,182.72,0.00,N/A
162.159.41.157,4,4,0.00,182.92,0.00,N/A
104.25.195.142,4,4,0.00,183.05,0.00,N/A
162.159.128.198,4,4,0.00,183.05,0.00,N/A
104.17.88.148,4,4,0.00,183.31,0.00,N/A
104.24.199.176,4,4,0.00,183.31,0.00,N/A
198.41.211.146,4,4,0.00,183.31,0.00,N/A
172.65.11.200,4,4,0.00,183.40,0.00,N/A
104.18.10.246,4,4,0.00,183.44,0.00,N/A
172.66.137.85,4,4,0.00,183.54,0.00,N/A
104.16.112.42,4,4,0.00,183.58,0.00,N/A
104.27.9.204,4,4,0.00,183.90,0.00,N/A
162.159.17.182,4,4,0.00,183.99,0.00,N/A
104.24.46.192,4,4,0.00,184.11,0.00,N/A
104.25.169.66,4,4,0.00,184.13,0.00,N/A
104.19.86.175,4,4,0.00,184.17,0.00,N/A
104.24.88.145,4,4,0.00,184.22,0.00,N/A
162.159.136.30,4,4,0.00,184.24,0.00,N/A
172.65.252.136,4,4,0.00,184.25,0.00,N/A
198.41.194.46,4,4,0.00,184.27,0.00,N/A
172.64.147.128,4,4,0.00,184.35,0.00,N/A
104.20.9.139,4,4,0.00,184.36,0.00,N/A
141.101.113.157,4,4,0.00,184.46,0.00,N/A
141.101.123.169,4,4,0.00,184.50,0.00,N/A
108.162.194.178,4,4,0.00,184.51,0.00,N/A
172.65.99.21,4,4,0.00,184.72,0.00,N/A
162.159.60.194,4,4,0.00,184.76,0.00,N/A
172.67.95.86,4,4,0.00,184.87,0.00,N/A
162.159.38.178,4,4,0.00,184.91,0.00,N/A
172.67.86.9,4,4,0.00,184.93,0.00,N/A
104.25.68.160,4,4,0.00,184.97,0.00,N/A
172.65.93.115,4,4,0.00,185.01,0.00,N/A
162.159.46.156,4,4,0.00,185.03,0.00,N/A
172.67.113.95,4,4,0.00,185.03,0.00,N/A
172.65.1.143,4,4,0.00,185.03,0.00,N/A
162.159.134.18,4,4,0.00,185.11,0.00,N/A
172.65.185.46,4,4,0.00,185.14,0.00,N/A
162.159.56.39,4,4,0.00,185.20,0.00,N/A
104.25.2.120,4,4,0.00,185.38,0.00,N/A
104.24.51.163,4,4,0.00,185.42,0.00,N/A
104.24.26.114,4,4,0.00,185.49,0.00,N/A
172.66.171.44,4,4,0.00,185.49,0.00,N/A
162.159.62.123,4,4,0.00,185.52,0.00,N/A
104.25.166.137,4,4,0.00,185.63,0.00,N/A
198.41.217.243,4,4,0.00,185.84,0.00,N/A
162.159.39.88,4,4,0.00,185.90,0.00,N/A
162.159.3.70,4,4,0.00,185.96,0.00,N/A
172.66.208.131,4,4,0.00,186.03,0.00,N/A
172.65.107.23,4,4,0.00,186.12,0.00,N/A
162.159.140.5,4,4,0.00,186.18,0.00,N/A
104.20.46.213,4,4,0.00,186.24,0.00,N/A
162.159.153.58,4,4,0.00,186.25,0.00,N/A
162.159.33.80,4,4,0.00,186.28,0.00,N/A
172.67.90.11,4,4,0.00,186.28,0.00,N/A
172.65.95.200,4,4,0.00,186.30,0.00,N/A
104.25.198.251,4,4,0.00,186.48,0.00,N/A
104.24.9.61,4,4,0.00,186.57,0.00,N/A
162.159.142.40,4,4,0.00,186.65,0.00,N/A
198.41.204.177,4,4,0.00,186.70,0.00,N/A
104.27.80.94,4,4,0.00,186.70,0.00,N/A
104.18.24.230,4,4,0.00,186.71,0.00,N/A
104.27.118.204,4,4,0.00,186.77,0.00,N/A
104.25.180.60,4,4,0.00,186.78,0.00,N/A
198.41.206.225,4,4,0.00,186.78,0.00,N/A
198.41.222.208,4,4,0.00,186.90,0.00,N/A
104.27.42.87,4,4,0.00,187.03,0.00,N/A
162.159.135.9,4,4,0.00,187.03,0.00,N/A
104.24.197.252,4,4,0.00,187.06,0.00,N/A
104.16.29.3,4,4,0.00,187.12,0.00,N/A
162.159.44.70,4,4,0.00,187.23,0.00,N/A
172.65.87.13,4,4,0.00,187.26,0.00,N/A
104.24.52.186,4,4,0.00,187.29,0.00,N/A
198.41.195.35,4,4,0.00,187.29,0.00,N/A
173.245.49.105,4,4,0.00,187.29,0.00,N/A
104.25.155.159,4,4,0.00,187.37,0.00,N/A
104.25.219.147,4,4,0.00,187.44,0.00,N/A
104.25.16.164,4,4,0.00,187.48,0.00,N/A
198.41.214.155,4,4,0.00,187.50,0.00,N/A
104.27.125.136,4,4,0.00,187.58,0.00,N/A
104.24.231.67,4,4,0.00,187.58,0.00,N/A
172.65.0.126,4,4,0.00,187.60,0.00,N/A
104.27.45.211,4,4,0.00,187.60,0.00,N/A
104.19.44.218,4,4,0.00,187.68,0.00,N/A
104.19.75.104,4,4,0.00,187.71,0.00,N/A
104.24.36.70,4,4,0.00,187.81,0.00,N/A
104.17.67.217,4,4,0.00,187.84,0.00,N/A
141.101.90.140,4,4,0.00,187.88,0.00,N/A
104.25.207.22,4,4,0.00,187.91,0.00,N/A
198.41.193.204,4,4,0.00,187.93,0.00,N/A
104.18.16.70,4,4,0.00,187.97,0.00,N/A
162.159.45.226,4,4,0.00,187.99,0.00,N/A
103.21.244.225,4,4,0.00,188.02,0.00,N/A
104.24.62.69,4,4,0.00,188.08,0.00,N/A
162.159.50.191,4,4,0.00,188.11,0.00,N/A
104.19.122.152,4,4,0.00,188.14,0.00,N/A
104.24.145.226,4,4,0.00,188.16,0.00,N/A
162.159.36.27,4,4,0.00,188.18,0.00,N/A
162.159.141.70,4,4,0.00,188.21,0.00,N/A
104.19.4.184,4,4,0.00,188.28,0.00,N/A
104.27.114.211,4,4,0.00,188.29,0.00,N/A
198.41.205.32,4,4,0.00,188.29,0.00,N/A
172.64.93.102,4,4,0.00,188.31,0.00,N/A
104.20.10.164,4,4,0.00,188.33,0.00,N/A
198.41.197.217,4,4,0.00,188.38,0.00,N/A
172.65.175.214,4,4,0.00,188.39,0.00,N/A
162.159.24.79,4,4,0.00,188.39,0.00,N/A
104.16.249.252,4,4,0.00,188.41,0.00,N/A
141.101.121.67,4,4,0.00,188.43,0.00,N/A
172.65.147.164,4,4,0.00,188.64,0.00,N/A
104.24.182.58,4,4,0.00,188.68,0.00,N/A
162.159.137.43,4,4,0.00,188.76,0.00,N/A
104.25.143.0,4,4,0.00,188.82,0.00,N/A
172.65.105.90,4,4,0.00,188.91,0.00,N/A
104.19.73.214,4,4,0.00,189.04,0.00,N/A
172.65.148.117,4,4,0.00,189.11,0.00,N/A
162.159.194.207,4,4,0.00,189.24,0.00,N/A
172.64.36.178,4,4,0.00,189.26,0.00,N/A
162.159.129.172,4,4,0.00,189.28,0.00,N/A
104.27.69.3,4,4,0.00,189.30,0.00,N/A
108.162.192.33,4,4,0.00,189.48,0.00,N/A
104.27.44.166,4,4,0.00,189.50,0.00,N/A
141.101.120.56,4,4,0.00,189.54,0.00,N/A
104.27.70.227,4,4,0.00,189.54,0.00,N/A
104.19.26.13,4,4,0.00,189.57,0.00,N/A
104.24.49.111,4,4,0.00,189.69,0.00,N/A
172.65.71.122,4,4,0.00,189.72,0.00,N/A
104.24.204.131,4,4,0.00,189.74,0.00,N/A
104.25.147.43,4,4,0.00,189.77,0.00,N/A
162.159.26.244,4,4,0.00,189.84,0.00,N/A
162.159.133.43,4,4,0.00,189.85,0.00,N/A
172.65.213.246,4,4,0.00,189.85,0.00,N/A
172.64.95.138,4,4,0.00,189.93,0.00,N/A
172.65.91.37,4,4,0.00,189.94,0.00,N/A
104.24.163.197,4,4,0.00,189.95,0.00,N/A
104.16.31.160,4,4,0.00,190.02,0.00,N/A
173.245.59.116,4,4,0.00,190.08,0.00,N/A
104.19.118.250,4,4,0.00,190.13,0.00,N/A
104.27.82.38,4,4,0.00,190.19,0.00,N/A
104.24.214.21,4,4,0.00,190.22,0.00,N/A
162.159.49.120,4,4,0.00,190.24,0.00,N/A
104.24.19.67,4,4,0.00,190.27,0.00,N/A
104.17.178.204,4,4,0.00,190.28,0.00,N/A
162.159.199.44,4,4,0.00,190.32,0.00,N/A
104.19.12.215,4,4,0.00,190.35,0.00,N/A
162.159.32.112,4,4,0.00,190.39,0.00,N/A
198.41.198.79,4,4,0.00,190.44,0.00,N/A
104.19.78.6,4,4,0.00,190.46,0.00,N/A
198.41.199.246,4,4,0.00,190.51,0.00,N/A
104.19.103.181,4,4,0.00,190.66,0.00,N/A
172.64.85.3,4,4,0.00,190.68,0.00,N/A
104.24.129.30,4,4,0.00,190.69,0.00,N/A
104.19.159.55,4,4,0.00,190.78,0.00,N/A
104.24.87.41,4,4,0.00,190.84,0.00,N/A
104.19.111.218,4,4,0.00,191.06,0.00,N/A
198.41.218.9,4,4,0.00,191.07,0.00,N/A
162.159.15.226,4,4,0.00,191.08,0.00,N/A
172.67.94.114,4,4,0.00,191.29,0.00,N/A
104.25.87.158,4,4,0.00,191.32,0.00,N/A
104.27.22.28,4,4,0.00,191.45,0.00,N/A
172.65.106.30,4,4,0.00,191.78,0.00,N/A
104.27.13.61,4,4,0.00,191.97,0.00,N/A
172.67.122.215,4,4,0.00,192.38,0.00,N/A
162.159.25.80,4,4,0.00,192.39,0.00,N/A
104.24.142.86,4,4,0.00,192.39,0.00,N/A
104.24.203.254,4,4,0.00,192.49,0.00,N/A
104.16.70.107,4,4,0.00,192.65,0.00,N/A
172.64.96.99,4,4,0.00,193.33,0.00,N/A
104.27.84.236,4,4,0.00,193.64,0.00,N/A
104.16.152.244,4,4,0.00,193.66,0.00,N/A
104.25.35.216,4,4,0.00,193.77,0.00,N/A
104.17.137.146,4,4,0.00,194.08,0.00,N/A
104.27.46.2,4,4,0.00,194.61,0.00,N/A
104.19.145.151,4,4,0.00,195.25,0.00,N/A
104.16.159.44,4,4,0.00,195.77,0.00,N/A
104.16.107.148,4,4,0.00,195.89,0.00,N/A
104.16.173.98,4,4,0.00,196.53,0.00,N/A
104.17.62.209,4,4,0.00,196.98,0.00,N/A
104.16.148.233,4,4,0.00,197.20,0.00,N/A
104.18.242.208,4,4,0.00,197.51,0.00,N/A
162.159.42.19,4,4,0.00,198.63,0.00,N/A
104.18.149.235,4,4,0.00,198.73,0.00,N/A
104.16.174.6,4,4,0.00,198.76,0.00,N/A
104.16.144.139,4,4,0.00,198.83,0.00,N/A
104.16.162.56,4,4,0.00,199.02,0.00,N/A
198.41.208.168,4,4,0.00,200.07,0.00,N/A
104.18.76.126,4,4,0.00,200.12,0.00,N/A
104.16.181.128,4,4,0.00,200.12,0.00,N/A
104.16.75.74,4,4,0.00,201.04,0.00,N/A
104.17.239.10,4,4,0.00,201.37,0.00,N/A
104.21.227.86,4,4,0.00,201.74,0.00,N/A
198.41.219.130,4,4,0.00,202.14,0.00,N/A
104.18.161.154,4,4,0.00,202.27,0.00,N/A
104.16.156.33,4,4,0.00,202.28,0.00,N/A
104.16.166.201,4,4,0.00,202.49,0.00,N/A
104.16.68.169,4,4,0.00,202.52,0.00,N/A
104.16.141.141,4,4,0.00,202.63,0.00,N/A
104.18.73.220,4,4,0.00,203.03,0.00,N/A
104.16.23.156,4,4,0.00,203.26,0.00,N/A
104.16.14.127,4,4,0.00,203.32,0.00,N/A
104.16.32.175,4,4,0.00,203.51,0.00,N/A
141.101.114.252,4,4,0.00,204.23,0.00,N/A
104.17.76.208,4,4,0.00,204.39,0.00,N/A
104.17.109.237,4,4,0.00,204.67,0.00,N/A
104.16.71.183,4,4,0.00,204.71,0.00,N/A
104.16.146.70,4,4,0.00,204.88,0.00,N/A
198.41.209.237,4,4,0.00,204.90,0.00,N/A
104.19.231.171,4,4,0.00,205.70,0.00,N/A
104.17.98.239,4,4,0.00,205.74,0.00,N/A
104.18.238.90,4,4,0.00,206.49,0.00,N/A
104.16.147.100,4,4,0.00,206.55,0.00,N/A
190.93.247.153,4,4,0.00,206.67,0.00,N/A
104.19.253.118,4,4,0.00,206.82,0.00,N/A
104.16.151.30,4,4,0.00,206.89,0.00,N/A
104.17.213.45,4,4,0.00,206.90,0.00,N/A
104.17.101.18,4,4,0.00,207.05,0.00,N/A
104.17.181.211,4,4,0.00,207.15,0.00,N/A
162.159.59.149,4,4,0.00,207.58,0.00,N/A
104.16.24.11,4,4,0.00,207.78,0.00,N/A
104.18.253.177,4,4,0.00,207.80,0.00,N/A
104.16.97.208,4,4,0.00,207.84,0.00,N/A
104.19.177.71,4,4,0.00,208.14,0.00,N/A
104.16.37.218,4,4,0.00,208.25,0.00,N/A
104.17.223.107,4,4,0.00,208.86,0.00,N/A
104.17.214.20,4,4,0.00,208.97,0.00,N/A
104.16.87.10,4,4,0.00,209.19,0.00,N/A
104.17.183.97,4,4,0.00,209.49,0.00,N/A
104.17.125.59,4,4,0.00,209.82,0.00,N/A
104.17.130.203,4,4,0.00,209.88,0.00,N/A
104.16.124.235,4,4,0.00,210.14,0.00,N/A
104.17.219.209,4,4,0.00,210.85,0.00,N/A
104.17.235.233,4,4,0.00,211.66,0.00,N/A
104.17.11.158,4,4,0.00,211.74,0.00,N/A
104.16.202.53,4,4,0.00,212.07,0.00,N/A
104.16.137.251,4,4,0.00,212.63,0.00,N/A
104.18.185.133,4,4,0.00,212.74,0.00,N/A
104.18.254.137,4,4,0.00,212.79,0.00,N/A
104.17.23.84,4,4,0.00,212.90,0.00,N/A
104.17.93.38,4,4,0.00,212.91,0.00,N/A
104.17.247.103,4,4,0.00,213.27,0.00,N/A
104.16.193.79,4,4,0.00,213.32,0.00,N/A
104.17.122.86,4,4,0.00,213.34,0.00,N/A
104.17.210.117,4,4,0.00,214.30,0.00,N/A
104.16.154.146,4,4,0.00,214.31,0.00,N/A
104.18.204.245,4,4,0.00,214.53,0.00,N/A
104.19.175.51,4,4,0.00,214.75,0.00,N/A
104.18.246.197,4,4,0.00,214.78,0.00,N/A
104.16.67.72,4,4,0.00,215.17,0.00,N/A
104.17.121.9,4,4,0.00,215.73,0.00,N/A
104.17.24.189,4,4,0.00,216.06,0.00,N/A
104.17.202.236,4,4,0.00,216.12,0.00,N/A
104.17.0.104,4,4,0.00,216.56,0.00,N/A
104.16.140.73,4,4,0.00,216.66,0.00,N/A
104.16.88.24,4,4,0.00,216.81,0.00,N/A
104.17.91.218,4,4,0.00,216.81,0.00,N/A
104.18.255.40,4,4,0.00,217.18,0.00,N/A
104.17.179.151,4,4,0.00,217.57,0.00,N/A
104.16.65.163,4,4,0.00,217.77,0.00,N/A
104.16.153.191,4,4,0.00,218.24,0.00,N/A
104.16.127.7,4,4,0.00,219.41,0.00,N/A
104.16.138.36,4,4,0.00,219.62,0.00,N/A
104.18.249.96,4,4,0.00,220.47,0.00,N/A
104.17.201.52,4,4,0.00,220.79,0.00,N/A
188.114.97.37,4,4,0.00,221.02,0.00,N/A
104.16.15.253,4,4,0.00,221.31,0.00,N/A
190.93.244.100,4,4,0.00,221.98,0.00,N/A
104.16.106.107,4,4,0.00,222.06,0.00,N/A
104.17.216.210,4,4,0.00,222.54,0.00,N/A
104.16.149.3,4,4,0.00,222.93,0.00,N/A
104.16.158.114,4,4,0.00,223.08,0.00,N/A
104.18.245.228,4,4,0.00,223.18,0.00,N/A
188.114.96.32,4,4,0.00,223.56,0.00,N/A
104.17.211.161,4,4,0.00,223.58,0.00,N/A
162.159.35.226,4,4,0.00,223.77,0.00,N/A
104.16.145.119,4,4,0.00,223.80,0.00,N/A
104.17.90.149,4,4,0.00,224.15,0.00,N/A
104.19.250.221,4,4,0.00,224.26,0.00,N/A
104.17.191.139,4,4,0.00,224.46,0.00,N/A
104.16.20.114,4,4,0.00,225.18,0.00,N/A
104.16.36.87,4,4,0.00,225.52,0.00,N/A
104.16.28.235,4,4,0.00,225.64,0.00,N/A
104.18.72.240,4,4,0.00,225.83,0.00,N/A
104.16.64.110,4,4,0.00,225.90,0.00,N/A
104.16.33.92,4,4,0.00,226.92,0.00,N/A
104.17.104.146,4,4,0.00,227.17,0.00,N/A
104.16.142.61,4,4,0.00,228.17,0.00,N/A
104.17.220.52,4,4,0.00,228.96,0.00,N/A
104.16.132.128,4,4,0.00,229.02,0.00,N/A
104.17.189.30,4,4,0.00,229.04,0.00,N/A
104.17.205.241,4,4,0.00,230.08,0.00,N/A
104.17.230.42,4,4,0.00,230.08,0.00,N/A
104.17.99.142,4,4,0.00,230.66,0.00,N/A
104.19.251.164,4,4,0.00,231.16,0.00,N/A
104.16.205.180,4,4,0.00,232.09,0.00,N/A
162.159.34.108,4,4,0.00,232.68,0.00,N/A
162.159.43.254,4,4,0.00,232.85,0.00,N/A
104.16.150.27,4,4,0.00,233.19,0.00,N/A
104.16.114.10,4,4,0.00,233.54,0.00,N/A
104.16.122.29,4,4,0.00,234.08,0.00,N/A
104.17.194.223,4,4,0.00,235.30,0.00,N/A
190.93.246.130,4,4,0.00,235.96,0.00,N/A
108.162.199.29,4,4,0.00,236.40,0.00,N/A
104.17.86.119,4,4,0.00,236.48,0.00,N/A
104.16.164.116,4,4,0.00,236.66,0.00,N/A
104.16.143.47,4,4,0.00,238.68,0.00,N/A
190.93.245.248,4,4,0.00,239.38,0.00,N/A
104.16.157.0,4,4,0.00,241.11,0.00,N/A
104.16.206.163,4,4,0.00,241.44,0.00,N/A
104.16.182.66,4,4,0.00,241.48,0.00,N/A
104.17.96.180,4,4,0.00,241.87,0.00,N/A
104.16.117.185,4,4,0.00,242.47,0.00,N/A
104.16.139.53,4,4,0.00,243.21,0.00,N/A
104.17.73.66,4,4,0.00,243.32,0.00,N/A
104.17.206.12,4,4,0.00,245.83,0.00,N/A
104.17.249.98,4,4,0.00,251.50,0.00,N/A
104.17.197.250,4,4,0.00,251.60,0.00,N/A
104.16.188.234,4,4,0.00,251.84,0.00,N/A
104.18.188.49,4,4,0.00,254.13,0.00,N/A
162.159.233.85,4,4,0.00,257.20,0.00,N/A
104.21.16.96,4,4,0.00,280.09,0.00,N/A
104.21.0.19,4,4,0.00,341.59,0.00,N/A
104.21.39.254,4,4,0.00,352.95,0.00,N/A
188.114.98.37,4,4,0.00,355.60,0.00,N/A
104.21.96.242,4,4,0.00,355.93,0.00,N/A
104.21.88.23,4,4,0.00,380.45,0.00,N/A
104.21.121.4,4,4,0.00,386.30,0.00,N/A
104.21.112.160,4,4,0.00,391.35,0.00,N/A
172.67.211.124,4,4,0.00,401.95,0.00,N/A
104.21.75.205,4,4,0.00,407.45,0.00,N/A
104.21.55.11,4,4,0.00,410.93,0.00,N/A
104.27.196.134,4,4,0.00,416.94,0.00,N/A
172.67.191.189,4,4,0.00,422.65,0.00,N/A
104.21.90.30,4,4,0.00,427.43,0.00,N/A
104.21.215.15,4,4,0.00,427.82,0.00,N/A
104.21.106.218,4,4,0.00,428.00,0.00,N/A
104.21.92.209,4,4,0.00,429.81,0.00,N/A
104.21.91.154,4,4,0.00,437.95,0.00,N/A
104.21.213.148,4,4,0.00,441.60,0.00,N/A
104.18.55.245,4,4,0.00,441.68,0.00,N/A
172.67.237.84,4,4,0.00,443.54,0.00,N/A
104.27.202.147,4,4,0.00,445.38,0.00,N/A
172.67.251.51,4,4,0.00,445.78,0.00,N/A
172.67.249.196,4,4,0.00,449.74,0.00,N/A
172.67.250.253,4,4,0.00,450.32,0.00,N/A
104.21.109.98,4,4,0.00,452.77,0.00,N/A
104.21.61.77,4,4,0.00,455.59,0.00,N/A
172.65.35.107,4,4,0.00,455.80,0.00,N/A
172.67.190.3,4,4,0.00,456.18,0.00,N/A
104.21.125.161,4,4,0.00,461.01,0.00,N/A
172.67.130.148,4,4,0.00,469.66,0.00,N/A
104.21.126.233,4,4,0.00,469.70,0.00,N/A
188.114.99.88,4,4,0.00,472.53,0.00,N/A
172.65.26.185,4,4,0.00,479.32,0.00,N/A
172.67.150.117,4,4,0.00,480.21,0.00,N/A
172.67.196.49,4,4,0.00,483.37,0.00,N/A
172.67.212.121,4,4,0.00,498.56,0.00,N/A
172.65.59.76,4,4,0.00,501.96,0.00,N/A
172.67.214.149,4,4,0.00,502.32,0.00,N/A
172.65.37.121,4,4,0.00,505.61,0.00,N/A
104.27.201.229,4,4,0.00,519.03,0.00,N/A
104.20.29.33,4,3,0.25,58.57,0.00,N/A
104.20.17.54,4,3,0.25,60.59,0.00,N/A
104.20.21.143,4,3,0.25,60.81,0.00,N/A
104.20.27.248,4,3,0.25,61.06,0.00,N/A
104.26.7.73,4,3,0.25,61.33,0.00,N/A
104.26.15.73,4,3,0.25,61.54,0.00,N/A
172.65.226.45,4,3,0.25,61.66,0.00,N/A
104.26.10.156,4,3,0.25,61.67,0.00,N/A
172.65.232.212,4,3,0.25,61.72,0.00,N/A
104.26.6.232,4,3,0.25,61.94,0.00,N/A
104.26.5.25,4,3,0.25,61.99,0.00,N/A
104.20.26.85,4,3,0.25,62.04,0.00,N/A
104.26.8.142,4,3,0.25,62.35,0.00,N/A
172.67.64.72,4,3,0.25,62.57,0.00,N/A
