IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.128.204,4,3,0.25,228.04,0.00,N/A
104.17.236.62,4,3,0.25,228.93,0.00,N/A
104.16.219.120,4,3,0.25,229.20,0.00,N/A
104.16.189.125,4,3,0.25,229.62,0.00,N/A
104.17.72.56,4,3,0.25,229.73,0.00,N/A
104.16.103.54,4,3,0.25,229.73,0.00,N/A
104.16.196.159,4,3,0.25,229.87,0.00,N/A
104.17.126.165,4,3,0.25,230.50,0.00,N/A
104.18.239.149,4,3,0.25,230.80,0.00,N/A
104.17.136.231,4,3,0.25,231.10,0.00,N/A
104.17.251.117,4,3,0.25,231.41,0.00,N/A
104.17.204.89,4,3,0.25,231.83,0.00,N/A
104.17.110.208,4,3,0.25,232.44,0.00,N/A
104.17.105.140,4,3,0.25,232.74,0.00,N/A
104.18.214.68,4,3,0.25,232.92,0.00,N/A
162.159.232.100,4,3,0.25,233.55,0.00,N/A
104.16.120.127,4,3,0.25,233.67,0.00,N/A
104.17.89.249,4,3,0.25,233.78,0.00,N/A
104.17.171.67,4,3,0.25,233.78,0.00,N/A
104.17.245.186,4,3,0.25,234.30,0.00,N/A
104.17.195.17,4,3,0.25,234.46,0.00,N/A
104.17.173.204,4,3,0.25,234.53,0.00,N/A
104.17.248.165,4,3,0.25,234.70,0.00,N/A
104.19.238.130,4,3,0.25,235.13,0.00,N/A
104.18.194.66,4,3,0.25,235.27,0.00,N/A
104.17.176.138,4,3,0.25,235.43,0.00,N/A
104.18.241.87,4,3,0.25,235.49,0.00,N/A
104.16.110.56,4,3,0.25,236.39,0.00,N/A
104.19.171.9,4,3,0.25,237.58,0.00,N/A
104.16.212.22,4,3,0.25,237.71,0.00,N/A
104.16.160.217,4,3,0.25,237.79,0.00,N/A
104.16.178.226,4,3,0.25,237.87,0.00,N/A
104.19.230.64,4,3,0.25,238.19,0.00,N/A
104.16.35.19,4,3,0.25,238.23,0.00,N/A
104.19.162.137,4,3,0.25,238.30,0.00,N/A
104.17.244.99,4,3,0.25,238.79,0.00,N/A
104.17.198.97,4,3,0.25,239.03,0.00,N/A
104.17.114.204,4,3,0.25,239.23,0.00,N/A
104.17.138.2,4,3,0.25,239.46,0.00,N/A
104.16.172.157,4,3,0.25,239.61,0.00,N/A
104.17.212.108,4,3,0.25,240.13,0.00,N/A
172.64.39.55,4,3,0.25,240.23,0.00,N/A
104.16.39.204,4,3,0.25,240.48,0.00,N/A
104.19.178.6,4,3,0.25,240.89,0.00,N/A
104.19.166.84,4,3,0.25,241.48,0.00,N/A
104.17.38.248,4,3,0.25,242.72,0.00,N/A
104.19.170.38,4,3,0.25,243.41,0.00,N/A
104.16.54.41,4,3,0.25,244.04,0.00,N/A
104.16.183.162,4,3,0.25,244.77,0.00,N/A
104.18.230.18,4,3,0.25,247.64,0.00,N/A
104.17.217.37,4,3,0.25,249.37,0.00,N/A
104.16.171.178,4,3,0.25,250.25,0.00,N/A
104.18.236.223,4,3,0.25,251.42,0.00,N/A
104.16.30.202,4,3,0.25,252.15,0.00,N/A
162.159.209.59,4,3,0.25,252.99,0.00,N/A
104.16.155.172,4,3,0.25,253.00,0.00,N/A
104.17.152.178,4,3,0.25,253.92,0.00,N/A
104.18.218.196,4,3,0.25,256.11,0.00,N/A
104.17.108.5,4,3,0.25,256.27,0.00,N/A
104.16.22.173,4,3,0.25,257.89,0.00,N/A
104.19.181.53,4,3,0.25,259.26,0.00,N/A
104.17.133.28,4,3,0.25,260.73,0.00,N/A
104.18.217.7,4,3,0.25,275.03,0.00,N/A
104.29.143.188,4,3,0.25,292.95,0.00,N/A
104.21.120.243,4,3,0.25,309.19,0.00,N/A
104.21.13.87,4,3,0.25,330.58,0.00,N/A
104.21.14.51,4,3,0.25,349.75,0.00,N/A
104.21.9.135,4,3,0.25,353.10,0.00,N/A
172.67.247.53,4,3,0.25,358.81,0.00,N/A
104.19.142.133,4,3,0.25,362.22,0.00,N/A
172.65.36.91,4,3,0.25,362.82,0.00,N/A
104.21.77.23,4,3,0.25,362.86,0.00,N/A
172.65.27.238,4,3,0.25,366.07,0.00,N/A
104.21.117.103,4,3,0.25,370.32,0.00,N/A
104.21.1.24,4,3,0.25,373.82,0.00,N/A
104.27.204.83,4,3,0.25,374.20,0.00,N/A
172.65.20.82,4,3,0.25,378.65,0.00,N/A
162.159.195.111,4,3,0.25,380.27,0.00,N/A
104.21.127.69,4,3,0.25,384.44,0.00,N/A
104.18.57.15,4,3,0.25,389.23,0.00,N/A
104.18.56.190,4,3,0.25,389.48,0.00,N/A
104.21.98.113,4,3,0.25,393.89,0.00,N/A
104.21.41.117,4,3,0.25,397.07,0.00,N/A
104.21.122.84,4,3,0.25,397.88,0.00,N/A
172.67.215.67,4,3,0.25,398.72,0.00,N/A
104.21.113.130,4,3,0.25,402.24,0.00,N/A
104.21.124.174,4,3,0.25,407.33,0.00,N/A
104.21.83.122,4,3,0.25,407.47,0.00,N/A
104.21.8.61,4,3,0.25,408.20,0.00,N/A
104.21.74.38,4,3,0.25,412.05,0.00,N/A
104.21.123.125,4,3,0.25,413.20,0.00,N/A
104.21.114.51,4,3,0.25,414.74,0.00,N/A
104.21.219.121,4,3,0.25,416.77,0.00,N/A
104.21.216.203,4,3,0.25,417.42,0.00,N/A
172.65.42.61,4,3,0.25,418.78,0.00,N/A
104.21.2.67,4,3,0.25,419.86,0.00,N/A
104.21.119.244,4,3,0.25,422.24,0.00,N/A
104.21.72.185,4,3,0.25,423.05,0.00,N/A
172.67.149.254,4,3,0.25,423.49,0.00,N/A
172.67.151.24,4,3,0.25,426.48,0.00,N/A
104.27.194.179,4,3,0.25,432.41,0.00,N/A
172.65.56.178,4,3,0.25,433.30,0.00,N/A
172.67.192.72,4,3,0.25,434.79,0.00,N/A
104.21.89.74,4,3,0.25,438.55,0.00,N/A
172.67.225.138,4,3,0.25,439.99,0.00,N/A
104.21.110.197,4,3,0.25,441.45,0.00,N/A
104.21.202.103,4,3,0.25,442.20,0.00,N/A
104.19.128.140,4,3,0.25,448.41,0.00,N/A
104.21.12.234,4,3,0.25,451.47,0.00,N/A
172.67.213.65,4,3,0.25,454.03,0.00,N/A
172.67.174.141,4,3,0.25,456.55,0.00,N/A
104.21.107.37,4,3,0.25,457.04,0.00,N/A
172.67.152.170,4,3,0.25,457.61,0.00,N/A
172.67.204.5,4,3,0.25,458.60,0.00,N/A
172.65.55.97,4,3,0.25,464.04,0.00,N/A
172.67.208.17,4,3,0.25,464.50,0.00,N/A
104.21.56.136,4,3,0.25,464.50,0.00,N/A
162.159.192.102,4,3,0.25,464.67,0.00,N/A
104.21.104.149,4,3,0.25,468.28,0.00,N/A
172.65.61.198,4,3,0.25,470.40,0.00,N/A
172.67.206.212,4,3,0.25,470.75,0.00,N/A
104.27.203.67,4,3,0.25,476.02,0.00,N/A
172.67.207.202,4,3,0.25,476.17,0.00,N/A
104.21.108.207,4,3,0.25,477.05,0.00,N/A
104.21.115.44,4,3,0.25,477.74,0.00,N/A
172.65.25.167,4,3,0.25,485.67,0.00,N/A
172.65.23.200,4,3,0.25,486.56,0.00,N/A
172.65.48.144,4,3,0.25,488.33,0.00,N/A
172.67.205.152,4,3,0.25,489.92,0.00,N/A
104.21.221.204,4,3,0.25,495.59,0.00,N/A
104.18.62.15,4,3,0.25,501.73,0.00,N/A
172.67.246.201,4,3,0.25,502.16,0.00,N/A
172.67.254.87,4,3,0.25,505.71,0.00,N/A
172.67.243.11,4,3,0.25,506.45,0.00,N/A
104.21.198.68,4,3,0.25,507.47,0.00,N/A
172.65.62.209,4,3,0.25,507.92,0.00,N/A
172.67.245.203,4,3,0.25,511.53,0.00,N/A
172.67.235.63,4,3,0.25,516.76,0.00,N/A
172.67.197.137,4,3,0.25,518.63,0.00,N/A
172.67.65.14,4,2,0.50,59.88,0.00,N/A
104.26.14.136,4,2,0.50,60.35,0.00,N/A
104.20.25.165,4,2,0.50,60.52,0.00,N/A
104.26.3.142,4,2,0.50,60.57,0.00,N/A
104.26.4.180,4,2,0.50,61.26,0.00,N/A
104.20.19.228,4,2,0.50,61.36,0.00,N/A
104.20.22.142,4,2,0.50,61.54,0.00,N/A
104.20.24.156,4,2,0.50,61.90,0.00,N/A
104.20.30.10,4,2,0.50,62.05,0.00,N/A
172.65.233.104,4,2,0.50,62.33,0.00,N/A
104.20.23.140,4,2,0.50,62.61,0.00,N/A
104.26.11.73,4,2,0.50,62.91,0.00,N/A
172.65.227.192,4,2,0.50,63.48,0.00,N/A
104.26.12.244,4,2,0.50,63.91,0.00,N/A
104.20.28.98,4,2,0.50,63.96,0.00,N/A
172.67.67.227,4,2,0.50,64.10,0.00,N/A
104.16.82.122,4,2,0.50,161.02,0.00,N/A
104.18.83.4,4,2,0.50,161.55,0.00,N/A
104.18.250.233,4,2,0.50,163.02,0.00,N/A
104.18.233.118,4,2,0.50,163.03,0.00,N/A
104.16.100.0,4,2,0.50,164.45,0.00,N/A
104.16.73.18,4,2,0.50,166.50,0.00,N/A
104.16.170.175,4,2,0.50,170.01,0.00,N/A
172.67.87.121,4,2,0.50,170.38,0.00,N/A
104.21.233.5,4,2,0.50,170.92,0.00,N/A
104.19.200.116,4,2,0.50,171.89,0.00,N/A
104.19.202.36,4,2,0.50,173.57,0.00,N/A
104.24.20.111,4,2,0.50,173.73,0.00,N/A
104.25.81.27,4,2,0.50,174.06,0.00,N/A
104.19.56.81,4,2,0.50,174.43,0.00,N/A
172.67.100.144,4,2,0.50,174.81,0.00,N/A
104.24.141.173,4,2,0.50,175.02,0.00,N/A
104.19.199.95,4,2,0.50,175.37,0.00,N/A
104.18.13.118,4,2,0.50,175.53,0.00,N/A
104.19.89.241,4,2,0.50,175.56,0.00,N/A
172.64.156.15,4,2,0.50,175.60,0.00,N/A
104.21.230.145,4,2,0.50,175.88,0.00,N/A
104.19.197.140,4,2,0.50,175.90,0.00,N/A
104.19.205.129,4,2,0.50,175.90,0.00,N/A
104.27.55.24,4,2,0.50,176.00,0.00,N/A
104.27.79.99,4,2,0.50,176.21,0.00,N/A
172.65.83.127,4,2,0.50,176.46,0.00,N/A
104.27.19.51,4,2,0.50,176.54,0.00,N/A
104.27.59.64,4,2,0.50,176.54,0.00,N/A
104.25.91.108,4,2,0.50,176.73,0.00,N/A
104.24.155.159,4,2,0.50,176.88,0.00,N/A
104.24.239.86,4,2,0.50,177.00,0.00,N/A
104.25.103.155,4,2,0.50,177.02,0.00,N/A
172.66.146.182,4,2,0.50,177.11,0.00,N/A
104.20.40.76,4,2,0.50,177.14,0.00,N/A
104.19.82.37,4,2,0.50,177.18,0.00,N/A
104.27.90.100,4,2,0.50,177.41,0.00,N/A
104.25.59.110,4,2,0.50,177.60,0.00,N/A
104.27.35.223,4,2,0.50,177.74,0.00,N/A
104.25.208.94,4,2,0.50,177.75,0.00,N/A
172.65.169.160,4,2,0.50,177.80,0.00,N/A
104.27.120.96,4,2,0.50,177.84,0.00,N/A
104.24.128.69,4,2,0.50,177.91,0.00,N/A
104.27.8.181,4,2,0.50,177.98,0.00,N/A
172.66.136.125,4,2,0.50,178.05,0.00,N/A
104.24.232.246,4,2,0.50,178.10,0.00,N/A
104.18.7.181,4,2,0.50,178.17,0.00,N/A
172.64.158.99,4,2,0.50,178.32,0.00,N/A
104.16.95.216,4,2,0.50,178.38,0.00,N/A
172.66.214.238,4,2,0.50,178.60,0.00,N/A
104.24.147.90,4,2,0.50,178.77,0.00,N/A
172.65.121.49,4,2,0.50,178.85,0.00,N/A
104.19.87.206,4,2,0.50,178.92,0.00,N/A
104.24.246.27,4,2,0.50,179.00,0.00,N/A
104.25.50.234,4,2,0.50,179.10,0.00,N/A
104.25.181.121,4,2,0.50,179.21,0.00,N/A
172.66.134.101,4,2,0.50,179.27,0.00,N/A
172.64.83.44,4,2,0.50,179.47,0.00,N/A
104.24.131.127,4,2,0.50,179.51,0.00,N/A
104.24.235.136,4,2,0.50,179.57,0.00,N/A
104.19.77.29,4,2,0.50,179.65,0.00,N/A
172.65.10.109,4,2,0.50,179.66,0.00,N/A
172.67.88.82,4,2,0.50,179.69,0.00,N/A
104.27.15.253,4,2,0.50,179.97,0.00,N/A
104.18.30.30,4,2,0.50,180.01,0.00,N/A
104.25.221.140,4,2,0.50,180.15,0.00,N/A
104.18.99.224,4,2,0.50,180.21,0.00,N/A
104.18.213.131,4,2,0.50,180.31,0.00,N/A
172.66.199.52,4,2,0.50,180.54,0.00,N/A
172.65.241.204,4,2,0.50,180.54,0.00,N/A
104.25.53.90,4,2,0.50,180.67,0.00,N/A
172.67.80.212,4,2,0.50,180.74,0.00,N/A
104.18.11.7,4,2,0.50,180.78,0.00,N/A
104.16.69.92,4,2,0.50,180.90,0.00,N/A
104.24.234.137,4,2,0.50,181.05,0.00,N/A
104.18.8.90,4,2,0.50,181.12,0.00,N/A
172.64.146.95,4,2,0.50,181.13,0.00,N/A
172.65.189.100,4,2,0.50,181.34,0.00,N/A
104.25.225.100,4,2,0.50,181.38,0.00,N/A
104.24.130.198,4,2,0.50,181.42,0.00,N/A
104.25.56.167,4,2,0.50,181.45,0.00,N/A
104.27.112.189,4,2,0.50,181.47,0.00,N/A
172.65.139.99,4,2,0.50,181.50,0.00,N/A
104.25.187.16,4,2,0.50,181.52,0.00,N/A
172.65.109.33,4,2,0.50,181.61,0.00,N/A
104.27.83.67,4,2,0.50,181.62,0.00,N/A
172.65.156.138,4,2,0.50,181.63,0.00,N/A
172.65.216.73,4,2,0.50,181.67,0.00,N/A
104.25.55.161,4,2,0.50,181.72,0.00,N/A
104.27.122.204,4,2,0.50,181.78,0.00,N/A
104.31.16.253,4,2,0.50,181.91,0.00,N/A
104.16.85.62,4,2,0.50,181.99,0.00,N/A
104.25.232.1,4,2,0.50,181.99,0.00,N/A
104.19.204.27,4,2,0.50,182.01,0.00,N/A
104.17.149.57,4,2,0.50,182.04,0.00,N/A
104.16.251.232,4,2,0.50,182.06,0.00,N/A
104.24.15.104,4,2,0.50,182.06,0.00,N/A
104.25.89.207,4,2,0.50,182.07,0.00,N/A
104.19.40.23,4,2,0.50,182.08,0.00,N/A
104.18.1.38,4,2,0.50,182.24,0.00,N/A
104.24.6.192,4,2,0.50,182.40,0.00,N/A
104.19.196.119,4,2,0.50,182.42,0.00,N/A
104.27.107.70,4,2,0.50,182.57,0.00,N/A
104.17.243.179,4,2,0.50,182.57,0.00,N/A
172.65.92.197,4,2,0.50,182.61,0.00,N/A
104.19.198.227,4,2,0.50,182.62,0.00,N/A
104.17.83.235,4,2,0.50,182.76,0.00,N/A
172.64.155.73,4,2,0.50,182.81,0.00,N/A
172.65.103.229,4,2,0.50,182.84,0.00,N/A
104.24.139.231,4,2,0.50,182.85,0.00,N/A
172.64.33.219,4,2,0.50,182.88,0.00,N/A
104.19.79.250,4,2,0.50,182.92,0.00,N/A
104.24.30.199,4,2,0.50,182.92,0.00,N/A
104.24.229.213,4,2,0.50,182.93,0.00,N/A
104.25.196.213,4,2,0.50,182.99,0.00,N/A
104.25.66.148,4,2,0.50,183.00,0.00,N/A
104.25.149.112,4,2,0.50,183.13,0.00,N/A
172.65.80.225,4,2,0.50,183.23,0.00,N/A
104.25.101.177,4,2,0.50,183.23,0.00,N/A
172.65.160.47,4,2,0.50,183.27,0.00,N/A
172.65.170.10,4,2,0.50,183.30,0.00,N/A
104.27.124.2,4,2,0.50,183.33,0.00,N/A
104.19.72.240,4,2,0.50,183.38,0.00,N/A
172.65.195.176,4,2,0.50,183.40,0.00,N/A
104.24.17.129,4,2,0.50,183.43,0.00,N/A
172.65.193.88,4,2,0.50,183.43,0.00,N/A
104.24.245.186,4,2,0.50,183.45,0.00,N/A
104.19.15.226,4,2,0.50,183.53,0.00,N/A
104.18.2.10,4,2,0.50,183.55,0.00,N/A
104.27.101.205,4,2,0.50,183.57,0.00,N/A
104.24.74.136,4,2,0.50,183.62,0.00,N/A
172.65.115.84,4,2,0.50,183.64,0.00,N/A
172.65.79.169,4,2,0.50,183.72,0.00,N/A
104.20.34.143,4,2,0.50,183.73,0.00,N/A
104.24.70.31,4,2,0.50,183.86,0.00,N/A
104.19.193.170,4,2,0.50,183.87,0.00,N/A
104.19.31.24,4,2,0.50,183.87,0.00,N/A
104.18.20.72,4,2,0.50,183.90,0.00,N/A
162.159.6.169,4,2,0.50,183.94,0.00,N/A
104.24.24.188,4,2,0.50,183.96,0.00,N/A
172.65.184.173,4,2,0.50,183.98,0.00,N/A
104.27.34.32,4,2,0.50,183.99,0.00,N/A
104.27.98.20,4,2,0.50,184.16,0.00,N/A
104.25.157.47,4,2,0.50,184.16,0.00,N/A
104.25.254.38,4,2,0.50,184.26,0.00,N/A
104.25.163.69,4,2,0.50,184.28,0.00,N/A
172.65.97.54,4,2,0.50,184.30,0.00,N/A
104.24.37.202,4,2,0.50,184.42,0.00,N/A
172.65.158.137,4,2,0.50,184.51,0.00,N/A
104.21.228.123,4,2,0.50,184.52,0.00,N/A
104.25.251.0,4,2,0.50,184.54,0.00,N/A
104.25.42.129,4,2,0.50,184.59,0.00,N/A
104.25.250.134,4,2,0.50,184.61,0.00,N/A
104.27.92.156,4,2,0.50,184.64,0.00,N/A
104.25.45.234,4,2,0.50,184.80,0.00,N/A
172.67.126.222,4,2,0.50,184.81,0.00,N/A
104.25.192.190,4,2,0.50,184.81,0.00,N/A
172.65.112.207,4,2,0.50,184.85,0.00,N/A
104.25.95.27,4,2,0.50,184.92,0.00,N/A
172.65.174.252,4,2,0.50,184.94,0.00,N/A
104.25.135.108,4,2,0.50,184.94,0.00,N/A
104.18.109.134,4,2,0.50,185.02,0.00,N/A
104.25.252.76,4,2,0.50,185.05,0.00,N/A
104.27.0.187,4,2,0.50,185.07,0.00,N/A
104.25.62.218,4,2,0.50,185.07,0.00,N/A
172.65.146.123,4,2,0.50,185.13,0.00,N/A
104.25.99.217,4,2,0.50,185.15,0.00,N/A
162.159.247.165,4,2,0.50,185.24,0.00,N/A
104.18.28.239,4,2,0.50,185.31,0.00,N/A
104.25.239.133,4,2,0.50,185.32,0.00,N/A
104.19.203.254,4,2,0.50,185.32,0.00,N/A
104.27.119.252,4,2,0.50,185.45,0.00,N/A
104.25.40.125,4,2,0.50,185.47,0.00,N/A
104.24.21.233,4,2,0.50,185.47,0.00,N/A
172.66.162.9,4,2,0.50,185.48,0.00,N/A
104.25.41.242,4,2,0.50,185.54,0.00,N/A
104.25.114.58,4,2,0.50,185.55,0.00,N/A
104.27.94.187,4,2,0.50,185.58,0.00,N/A
172.66.204.85,4,2,0.50,185.64,0.00,N/A
172.65.179.86,4,2,0.50,185.71,0.00,N/A
104.24.47.103,4,2,0.50,185.74,0.00,N/A
104.24.172.214,4,2,0.50,185.78,0.00,N/A
104.17.167.190,4,2,0.50,185.81,0.00,N/A
104.24.61.200,4,2,0.50,185.83,0.00,N/A
104.19.16.181,4,2,0.50,185.85,0.00,N/A
104.27.89.127,4,2,0.50,185.92,0.00,N/A
104.27.20.89,4,2,0.50,186.00,0.00,N/A
104.24.11.84,4,2,0.50,186.00,0.00,N/A
104.19.237.20,4,2,0.50,186.01,0.00,N/A
104.20.55.67,4,2,0.50,186.03,0.00,N/A
104.25.26.191,4,2,0.50,186.09,0.00,N/A
104.24.14.131,4,2,0.50,186.20,0.00,N/A
172.67.92.79,4,2,0.50,186.20,0.00,N/A
172.65.141.242,4,2,0.50,186.22,0.00,N/A
172.65.155.102,4,2,0.50,186.26,0.00,N/A
104.24.7.158,4,2,0.50,186.32,0.00,N/A
172.66.148.124,4,2,0.50,186.32,0.00,N/A
104.25.118.99,4,2,0.50,186.42,0.00,N/A
104.18.41.105,4,2,0.50,186.51,0.00,N/A
104.24.32.39,4,2,0.50,186.55,0.00,N/A
104.20.41.163,4,2,0.50,186.58,0.00,N/A
172.64.159.247,4,2,0.50,186.60,0.00,N/A
104.25.253.156,4,2,0.50,186.66,0.00,N/A
104.19.67.105,4,2,0.50,186.68,0.00,N/A
172.65.248.163,4,2,0.50,186.68,0.00,N/A
104.19.27.97,4,2,0.50,186.76,0.00,N/A
104.25.173.106,4,2,0.50,186.82,0.00,N/A
104.27.116.13,4,2,0.50,186.83,0.00,N/A
172.64.41.38,4,2,0.50,186.85,0.00,N/A
104.25.243.106,4,2,0.50,186.86,0.00,N/A
104.18.38.223,4,2,0.50,186.90,0.00,N/A
172.65.145.1,4,2,0.50,186.92,0.00,N/A
172.66.200.239,4,2,0.50,186.92,0.00,N/A
104.16.63.83,4,2,0.50,186.92,0.00,N/A
172.65.75.222,4,2,0.50,186.93,0.00,N/A
104.19.29.72,4,2,0.50,186.94,0.00,N/A
172.65.167.26,4,2,0.50,186.99,0.00,N/A
172.65.152.3,4,2,0.50,187.04,0.00,N/A
104.19.84.229,4,2,0.50,187.07,0.00,N/A
104.24.230.184,4,2,0.50,187.13,0.00,N/A
104.18.201.91,4,2,0.50,187.17,0.00,N/A
104.25.46.128,4,2,0.50,187.21,0.00,N/A
104.24.73.223,4,2,0.50,187.33,0.00,N/A
172.65.161.48,4,2,0.50,187.34,0.00,N/A
104.24.244.196,4,2,0.50,187.36,0.00,N/A
172.65.117.113,4,2,0.50,187.52,0.00,N/A
172.66.149.145,4,2,0.50,187.52,0.00,N/A
172.64.157.128,4,2,0.50,187.53,0.00,N/A
104.25.193.33,4,2,0.50,187.61,0.00,N/A
104.24.132.0,4,2,0.50,187.63,0.00,N/A
172.65.82.116,4,2,0.50,187.68,0.00,N/A
104.24.188.5,4,2,0.50,187.68,0.00,N/A
172.65.84.40,4,2,0.50,187.68,0.00,N/A
172.64.97.86,4,2,0.50,187.83,0.00,N/A
172.65.123.165,4,2,0.50,187.85,0.00,N/A
172.66.152.208,4,2,0.50,187.88,0.00,N/A
104.19.195.126,4,2,0.50,187.90,0.00,N/A
172.65.89.61,4,2,0.50,187.92,0.00,N/A
172.66.201.191,4,2,0.50,187.92,0.00,N/A
104.25.65.239,4,2,0.50,187.98,0.00,N/A
104.16.61.23,4,2,0.50,188.08,0.00,N/A
104.24.225.111,4,2,0.50,188.11,0.00,N/A
104.18.184.107,4,2,0.50,188.15,0.00,N/A
104.27.39.118,4,2,0.50,188.20,0.00,N/A
104.24.25.63,4,2,0.50,188.20,0.00,N/A
104.25.47.199,4,2,0.50,188.23,0.00,N/A
104.19.68.141,4,2,0.50,188.25,0.00,N/A
172.65.165.14,4,2,0.50,188.29,0.00,N/A
104.18.17.134,4,2,0.50,188.36,0.00,N/A
104.27.85.12,4,2,0.50,188.37,0.00,N/A
104.19.206.84,4,2,0.50,188.39,0.00,N/A
104.20.13.117,4,2,0.50,188.41,0.00,N/A
172.65.198.201,4,2,0.50,188.44,0.00,N/A
172.66.155.85,4,2,0.50,188.45,0.00,N/A
172.65.153.186,4,2,0.50,188.55,0.00,N/A
104.24.137.36,4,2,0.50,188.64,0.00,N/A
172.66.2.108,4,2,0.50,188.67,0.00,N/A
172.64.37.13,4,2,0.50,188.72,0.00,N/A
172.64.46.131,4,2,0.50,188.73,0.00,N/A
104.24.42.41,4,2,0.50,188.76,0.00,N/A
104.24.227.168,4,2,0.50,188.76,0.00,N/A
104.18.151.222,4,2,0.50,188.78,0.00,N/A
172.65.205.145,4,2,0.50,188.81,0.00,N/A
104.25.211.206,4,2,0.50,188.83,0.00,N/A
104.24.13.243,4,2,0.50,188.84,0.00,N/A
104.19.88.123,4,2,0.50,188.86,0.00,N/A
104.24.41.215,4,2,0.50,188.91,0.00,N/A
104.20.59.134,4,2,0.50,188.93,0.00,N/A
104.20.39.2,4,2,0.50,188.95,0.00,N/A
104.19.32.194,4,2,0.50,188.95,0.00,N/A
104.25.140.223,4,2,0.50,188.98,0.00,N/A
104.19.194.142,4,2,0.50,189.00,0.00,N/A
172.64.149.207,4,2,0.50,189.03,0.00,N/A
104.25.90.235,4,2,0.50,189.04,0.00,N/A
104.27.6.42,4,2,0.50,189.08,0.00,N/A
172.65.118.243,4,2,0.50,189.12,0.00,N/A
104.27.75.67,4,2,0.50,189.12,0.00,N/A
104.27.123.24,4,2,0.50,189.14,0.00,N/A
104.24.228.102,4,2,0.50,189.15,0.00,N/A
104.17.253.219,4,2,0.50,189.17,0.00,N/A
104.17.250.165,4,2,0.50,189.19,0.00,N/A
104.19.97.223,4,2,0.50,189.32,0.00,N/A
172.65.122.47,4,2,0.50,189.39,0.00,N/A
104.24.233.103,4,2,0.50,189.42,0.00,N/A
104.24.186.50,4,2,0.50,189.43,0.00,N/A
104.24.136.109,4,2,0.50,189.48,0.00,N/A
104.27.66.227,4,2,0.50,189.49,0.00,N/A
104.24.226.218,4,2,0.50,189.57,0.00,N/A
172.66.198.20,4,2,0.50,189.57,0.00,N/A
104.27.127.52,4,2,0.50,189.64,0.00,N/A
104.24.22.188,4,2,0.50,189.65,0.00,N/A
104.17.238.78,4,2,0.50,189.69,0.00,N/A
